time,n1,n2,weight
1,15,23,38.98985
1,37,12,14.491113
1,26,15,9.813502
1,36,06,11.956893
1,22,06,42.67063
1,25,02,13.907125
1,36,27,18.79592
1,08,15,17.781023
1,22,15,4.2801085
1,07,09,19.637861
1,05,29,44.124718
1,40,08,28.900484
1,06,08,2.367139
1,13,24,12.924935
1,12,29,15.966166
1,04,15,20.488604
1,34,13,18.771223
1,15,21,0.09014264
1,18,01,14.508388
1,17,29,22.053587
1,13,25,25.739948
1,04,19,20.210218
1,22,02,17.338146
1,19,26,30.570023
1,06,03,22.795328
1,39,35,16.773634
1,39,24,9.396411
1,38,36,22.694338
1,17,10,37.397583
1,17,08,35.769295
1,11,24,19.367937
1,09,06,3.9765809
1,33,21,12.235763
1,32,16,12.919879
1,33,26,15.783611
1,09,02,17.406233
1,09,07,19.637861
1,13,30,12.175804
1,38,32,19.158678
1,21,38,12.016969
1,29,37,7.6834626
1,02,06,42.698483
1,40,26,20.264435
1,16,24,11.517202
1,26,36,10.824256
1,38,10,9.393078
1,26,19,30.570023
1,17,15,9.947336
1,29,17,22.053587
1,01,11,0.9473789
1,24,26,9.479307
1,06,12,41.419502
1,28,13,1.970291
1,29,35,33.34361
1,27,21,30.235445
1,28,18,31.49866
1,33,10,33.80111
1,03,15,9.652379
1,23,20,13.126867
1,31,37,52.96353
1,23,35,8.549868
1,06,16,11.9577265
1,36,16,31.751152
1,19,35,15.867435
1,09,25,2.4937427
1,17,28,38.232323
1,14,10,1.2769148
1,07,10,9.330044
1,03,35,0.7594018
1,38,35,51.83222
1,12,14,12.642015
1,37,35,12.820347
1,32,15,22.593409
1,20,18,26.624432
1,37,29,7.6834626
1,10,31,27.929024
1,29,26,10.888361
1,30,09,34.872482
1,21,15,0.09014264
1,27,24,33.5338
1,01,02,14.900252
1,06,26,19.89043
1,11,29,12.684579
1,22,07,14.551005
1,23,07,22.224972
1,19,04,20.210218
1,12,24,10.322168
1,03,02,26.072056
1,18,31,5.2268157
1,31,03,22.246431
1,12,10,0.27661267
1,28,06,2.332335
1,24,10,13.2986355
1,33,34,39.75589
1,28,22,22.848953
1,31,10,27.929024
1,22,36,11.974283
1,29,04,29.643322
1,31,33,22.890194
1,37,40,23.792322
1,23,40,12.266072
1,34,39,23.888264
1,30,20,2.7848372
1,29,12,15.966166
1,39,28,10.850381
1,10,27,25.115473
1,25,07,33.989346
1,28,01,68.39481
1,26,37,23.505087
1,29,28,15.692412
1,39,01,6.8715305
1,17,20,32.433674
1,26,33,15.783611
1,30,06,6.5768104
1,34,36,49.768063
1,07,05,26.464785
1,16,13,29.041412
1,36,22,11.974283
1,02,22,17.338146
1,18,20,26.624432
1,11,28,23.764112
1,34,33,39.75589
1,36,03,19.331318
1,07,08,27.241713
1,09,38,35.46433
1,30,14,10.48524
1,36,04,4.5672464
1,15,20,15.975238
